 #  Year Month Day Hour Minute Second VelX VelY VelZ SNR1 SNR2 SNR3 
 ()    () ()  ()   ()   ()   ()  (ft/s) (ft/s) (ft/s) (dB) (dB) (dB)
  6 2018 05 23 15 50 22  2.9380 -0.3150  0.0000  27.1  26.7   0.0 
  6 2018 05 23 15 50 23  2.5607 -0.2562  0.0000  26.2  24.5   0.0 
  6 2018 05 23 15 50 24  2.5322 -0.5374  0.0000  26.7  24.1   0.0 
  6 2018 05 23 15 50 25  3.1650 -0.1201  0.0000  27.1  26.7   0.0 
  6 2018 05 23 15 50 26  1.8432  0.3822  0.0000  26.7  25.8   0.0 
  6 2018 05 23 15 50 27  1.5919  0.2343  0.0000  25.8  24.9   0.0 
  6 2018 05 23 15 50 28  3.3373  0.1001  0.0000  26.7  25.4   0.0 
  6 2018 05 23 15 50 29  2.9698 -0.1572  0.0000  27.1  26.2   0.0 
  6 2018 05 23 15 50 30  2.9062 -0.1014  0.0000  25.4  23.6   0.0 
  6 2018 05 23 15 50 31  2.9022  0.0627  0.0000  25.8  26.2   0.0 
  6 2018 05 23 15 50 32  2.3015  0.0243  0.0000  27.9  25.8   0.0 
  6 2018 05 23 15 50 33  2.5407  0.0436  0.0000  27.1  25.8   0.0 
  6 2018 05 23 15 50 34  2.2536  0.7060  0.0000  25.4  24.1   0.0 
  6 2018 05 23 15 50 35  3.2467  0.1562  0.0000  26.7  24.9   0.0 
  7 2018 05 23 15 51 00  3.2933 -0.4262  0.0000  24.9  23.2   0.0 
  7 2018 05 23 15 51 01  3.1637 -0.1414  0.0000  24.5  24.1   0.0 
  7 2018 05 23 15 51 02  3.2861  0.0994  0.0000  25.8  23.6   0.0 
  7 2018 05 23 15 51 03  2.6844 -0.4314  0.0000  24.9  25.4   0.0 
  7 2018 05 23 15 51 04  2.8291 -0.1985  0.0000  24.1  24.1   0.0 
  7 2018 05 23 15 51 05  2.7887 -0.3740  0.0000  25.4  23.2   0.0 
  7 2018 05 23 15 51 06  3.6070 -0.1171  0.0000  26.2  24.5   0.0 
  7 2018 05 23 15 51 07  3.0938  0.3127  0.0000  24.5  23.2   0.0 
